run_id,memory_depth,population_size,generations,crossover_rate,mutation_rate,elite_size,rounds,ga_seed,opponent_pool_seed,num_random_opponents,best_fitness_overall,final_best_fitness,final_avg_fitness,first_gen_reach_99pct_best,last_improvement_generation,best_bitstring
1,3,80,200,0.8,0.001,2,200,42,42,10,708.8125,706.1875,699.4828125,37,123,1000011110111001010011101101111110111110111111101111011110101101
2,3,80,200,0.8,0.001,2,200,43,42,10,703.9375,702.5625,692.78203125,41,198,1110100110101101110011111111110111111100111110111011111011111010
3,3,80,200,0.8,0.001,2,200,44,42,10,681.0,680.0,673.83984375,91,129,1101110011110111010001111000111110110100101110111101110010110010
4,5,80,200,0.8,0.001,2,200,42,42,10,758.875,757.625,748.6078125,163,186,1010011011111001001111011010101100000001111001111111110010010100101001100110011011001000101010110001001000110011010110101100010101110111100101100111000110001010111110010111111101011010111110101001110011100100001001111000000011100111010000001101110000010111101101101101110101111000110110010111000110001100101011000101101010000010010000010110111100000000010110000010011010000011000111111010001100100100110110001010110000100011101110010100010011111010110101001000101111100100011010100101101101000101011111011101100111111110100010101111010011000000110101101110110011001011011010110101011011011110011101010000100111010001011101010111011111001101100100101001101010000001111000001000011100110000000110111110100001110001000101101111100101011001001000011010000110000000100011111111000111110101000100001101100001101010011100011110101111000110000011111100111101000111110011100100100010111101110000010010010011111110001110000111011110001011001111101011101111111010111101111100101011100011111001100100101010110001110000001100110101111010
5,5,80,200,0.8,0.001,2,200,43,42,10,701.5625,700.1875,695.353125,136,147,0111011000001010010101010010011001110010000111001111011100100110010111100100100010100010100111111110111010110111110011110111101111100101010011010011110010111011111111110010010110110000101011111001101011011101011010001110001100000110100110000100010110010101010100001100101011001010001011001010111101011000001110110111011000010100000010011100110101110111111000101011001011001110011000111000000101000101101110100000000100011001111011100100110011010010010110111001111001011010100000100101000001111100111000000011100100000110011100111010000100100011100000010110100100001011000100000100000010101110011110101000111001101000100101110001101101010010101111111001111001100010001001001000111000110010100110010101001011110001111001001010111111000100111000110000111001000011001001011101101100001000110010010111111010100111101011111101011101110110101101010111010111110010100011110010010001101000111110111111101111101001111100001010110110111010011111110110001100000111000111111001111011001000110101110111011100000110100110000111110111111001
6,5,80,200,0.8,0.001,2,200,44,42,10,760.75,759.1875,755.00390625,192,198,1101011010100011110110100110100001000111110100001110000011100000011110001101010101001101010011110100001011110001000011111101001011100000100010100101011100101110011111010110111010100101101010011100000001110001011011101111111001010001010110011000110111011100011011101000011101110110110100010001000001101111000001111100010110110111110100011110011000110111011100011011010111011101000110001010101001111110010111100101001101100110101111010110000110111001111100001111101111000011110111110011101100111110001000001111011101101101001011001010110110100100110011101101111100111111001111110100000101100001100111101010010110001101111010011000110010110100000000010101101000001111110000110010000110100111101100101110101001100100110100101111011000000110011111111101100110000100111100111100111111110111111011011100011010101101110101011100111110111000100001110010100100000100001111000101101101011110110110011111101100100100111101110101111010110011101100111010110101100011111011011011110110010000010110010100100101010011111110111111100111110101
